workload,loop_order,weight_acc,input_acc,output_acc,total_acc,norm_offchip,weight_reuse,input_reuse,tag
ResNet-50,K→C→KH→KW→H_in→W_in,9216,25088,3093376,3127680,1.0,1.0,1.0,Worst Loop Order
ResNet-50,H_in→W_in→K→C→KH→KW,9216,200704,21632,231552,0.07403314917127071,1.0,0.125,Best Loop Order
ResNet-50,KH→KW→C→K→H_in→W_in,9216,200704,21632,231552,0.07403314917127071,1.0,0.125,Best Loop Order
ResNet-50,C→KH→KW→K→H_in→W_in,9216,200704,21632,231552,0.07403314917127071,1.0,0.125,Best Loop Order
BERT-Large,K→C→KH→KW→H_in→W_in,2048,1024,30720,33792,1.0,1.0,1.0,Worst Loop Order
BERT-Large,K→H_in→W_in→C→KH→KW,16384,1024,2048,19456,0.5757575757575758,0.125,1.0,Best Loop Order
3D-UNet,K→C→KH→KW→H_in→W_in,4608,16384,2044800,2065792,1.0,1.0,1.0,Worst Loop Order
3D-UNet,H_in→W_in→K→C→KH→KW,4608,131072,28800,164480,0.07962079434909226,1.0,0.125,Best Loop Order
3D-UNet,KH→KW→C→K→H_in→W_in,4608,131072,28800,164480,0.07962079434909226,1.0,0.125,Best Loop Order
3D-UNet,C→KH→KW→K→H_in→W_in,4608,131072,28800,164480,0.07962079434909226,1.0,0.125,Best Loop Order
RNN-T,K→C→KH→KW→H_in→W_in,1024,1024,15360,17408,1.0,1.0,1.0,Worst Loop Order
RNN-T,C→K→KH→KW→H_in→W_in,1024,8192,1024,10240,0.5882352941176471,1.0,0.125,Best Loop Order
RNN-T,H_in→W_in→K→C→KH→KW,1024,8192,1024,10240,0.5882352941176471,1.0,0.125,Best Loop Order
RNN-T,KH→KW→C→K→H_in→W_in,1024,8192,1024,10240,0.5882352941176471,1.0,0.125,Best Loop Order
RNN-T,C→KH→KW→K→H_in→W_in,1024,8192,1024,10240,0.5882352941176471,1.0,0.125,Best Loop Order
RNN-T,K→H_in→W_in→C→KH→KW,8192,1024,1024,10240,0.5882352941176471,0.125,1.0,Best Loop Order
DLRM,K→C→KH→KW→H_in→W_in,1024,512,7680,9216,1.0,1.0,1.0,Worst Loop Order
DLRM,K→H_in→W_in→C→KH→KW,4096,512,512,5120,0.5555555555555556,0.25,1.0,Best Loop Order
VGG-16,K→C→KH→KW→H_in→W_in,9216,6272,658944,674432,1.0,1.0,1.0,Worst Loop Order
VGG-16,H_in→W_in→K→C→KH→KW,9216,50176,4608,64000,0.09489466691971911,1.0,0.125,Best Loop Order
VGG-16,KH→KW→C→K→H_in→W_in,9216,50176,4608,64000,0.09489466691971911,1.0,0.125,Best Loop Order
VGG-16,C→KH→KW→K→H_in→W_in,9216,50176,4608,64000,0.09489466691971911,1.0,0.125,Best Loop Order
GPT-2/Transformer,K→C→KH→KW→H_in→W_in,1536,1024,23040,25600,1.0,1.0,1.0,Worst Loop Order
GPT-2/Transformer,K→H_in→W_in→C→KH→KW,12288,1024,1536,14848,0.58,0.125,1.0,Best Loop Order
