workload,layer_idx,scheme,dram_traffic,norm_energy,weight_reuse,input_reuse
ResNet-50,1,Baseline,2433024.0,1.0,1.0,1.0
ResNet-50,1,Basic Tiling,1529856.0,0.6287878787878788,1.0,4.0
ResNet-50,1,Optimized Blocking,803620.8979591837,0.3302971520047413,784.0,1024.0
ResNet-50,2,Baseline,2717184.0,1.0,1.0,1.0
ResNet-50,2,Basic Tiling,1748352.0,0.6434426229508197,1.0,4.0
ResNet-50,2,Optimized Blocking,805349.7346938775,0.2963913134678688,87.11111111111111,1024.0
ResNet-50,3,Baseline,6119424.0,1.0,1.0,1.0
ResNet-50,3,Basic Tiling,4990464.0,0.8155120481927711,1.0,16.0
ResNet-50,3,Optimized Blocking,3212131.5918367347,0.524907506300713,784.0,1024.0
ResNet-50,4,Baseline,10868736.0,1.0,1.0,1.0
ResNet-50,4,Basic Tiling,9529536.0,0.8767842001130582,1.0,32.0
ResNet-50,4,Optimized Blocking,1644106.448979592,0.15126933334102438,196.0,64.0
BERT-Large,1,Baseline,2555904.0,1.0,1.0,1.0
BERT-Large,1,Basic Tiling,2362368.0,0.9242788461538461,1.0,64.0
BERT-Large,1,Optimized Blocking,557088.0,0.21796123798076922,32.0,4096.0
BERT-Large,2,Baseline,2555904.0,1.0,1.0,1.0
BERT-Large,2,Basic Tiling,1818624.0,0.7115384615384616,1.0,16.0
BERT-Large,2,Optimized Blocking,163968.0,0.06415264423076923,32.0,4096.0
BERT-Large,3,Baseline,786432.0,1.0,1.0,1.0
BERT-Large,3,Basic Tiling,602112.0,0.765625,1.0,16.0
BERT-Large,3,Optimized Blocking,139392.0,0.17724609375,32.0,1024.0
BERT-Large,4,Baseline,786432.0,1.0,1.0,1.0
BERT-Large,4,Basic Tiling,602112.0,0.765625,1.0,16.0
BERT-Large,4,Optimized Blocking,139392.0,0.17724609375,32.0,1024.0
3D-UNet,1,Baseline,3248856.0,1.0,1.0,1.0
3D-UNet,1,Basic Tiling,3198156.0,0.9843945068664169,1.0,2.0
3D-UNet,1,Optimized Blocking,2101378.125,0.6468055601725654,1024.0,16.0
3D-UNet,2,Baseline,2519808.0,1.0,1.0,1.0
3D-UNet,2,Basic Tiling,1892544.0,0.7510667479427003,1.0,4.0
3D-UNet,2,Optimized Blocking,1050313.0,0.41682263093061056,113.77777777777777,512.0
3D-UNet,3,Baseline,2569728.0,1.0,1.0,1.0
3D-UNet,3,Basic Tiling,1733376.0,0.6745367603108189,1.0,2.0
3D-UNet,3,Optimized Blocking,527114.0,0.20512443340306835,113.77777777777777,512.0
3D-UNet,4,Baseline,4845312.0,1.0,1.0,1.0
3D-UNet,4,Basic Tiling,4845312.0,1.0,1.0,1.0
3D-UNet,4,Optimized Blocking,1065638.0,0.2199317608442965,113.77777777777777,128.0
RNN-T,1,Baseline,491520.0,1.0,1.0,1.0
RNN-T,1,Basic Tiling,319488.0,0.65,1.0,8.0
RNN-T,1,Optimized Blocking,133248.0,0.27109375,32.0,1024.0
RNN-T,2,Baseline,786432.0,1.0,1.0,1.0
RNN-T,2,Basic Tiling,602112.0,0.765625,1.0,16.0
RNN-T,2,Optimized Blocking,266368.0,0.3387044270833333,32.0,1024.0
RNN-T,3,Baseline,491520.0,1.0,1.0,1.0
RNN-T,3,Basic Tiling,319488.0,0.65,1.0,8.0
RNN-T,3,Optimized Blocking,69760.0,0.14192708333333334,32.0,1024.0
RNN-T,4,Baseline,196608.0,1.0,1.0,1.0
RNN-T,4,Basic Tiling,122880.0,0.625,1.0,4.0
RNN-T,4,Optimized Blocking,33856.0,0.17220052083333334,32.0,1024.0
DLRM,1,Baseline,1081344.0,1.0,1.0,1.0
DLRM,1,Basic Tiling,598016.0,0.553030303030303,1.0,16.0
DLRM,1,Optimized Blocking,81984.0,0.07581676136363637,32.0,2048.0
DLRM,2,Baseline,344064.0,1.0,1.0,1.0
DLRM,2,Basic Tiling,172032.0,0.5,1.0,8.0
DLRM,2,Optimized Blocking,36928.0,0.10732886904761904,32.0,1024.0
DLRM,3,Baseline,1081344.0,1.0,1.0,1.0
DLRM,3,Basic Tiling,598016.0,0.553030303030303,1.0,16.0
DLRM,3,Optimized Blocking,81984.0,0.07581676136363637,32.0,2048.0
DLRM,4,Baseline,221184.0,1.0,1.0,1.0
DLRM,4,Basic Tiling,98304.0,0.4444444444444444,1.0,4.0
DLRM,4,Optimized Blocking,18496.0,0.08362268518518519,32.0,1024.0
VGG-16,1,Baseline,2717184.0,1.0,1.0,1.0
VGG-16,1,Basic Tiling,1748352.0,0.6434426229508197,1.0,4.0
VGG-16,1,Optimized Blocking,805349.7346938775,0.2963913134678688,87.11111111111111,1024.0
VGG-16,2,Baseline,2178048.0,1.0,1.0,1.0
VGG-16,2,Basic Tiling,1573248.0,0.7223201692524682,1.0,8.0
VGG-16,2,Optimized Blocking,418817.306122449,0.19229020945472688,196.0,32.0
VGG-16,3,Baseline,4233216.0,1.0,1.0,1.0
VGG-16,3,Basic Tiling,3864576.0,0.9129172714078374,1.0,16.0
VGG-16,3,Optimized Blocking,257044.89795918367,0.060720950208820824,49.0,32.0
VGG-16,4,Baseline,14555136.0,1.0,1.0,1.0
VGG-16,4,Basic Tiling,14314080.0,0.9834384233853947,1.0,32.0
VGG-16,4,Optimized Blocking,873326.3673469388,0.060001250922488036,12.25,64.0
GPT-2/Transformer,1,Baseline,2359296.0,1.0,1.0,1.0
GPT-2/Transformer,1,Basic Tiling,2070528.0,0.8776041666666666,1.0,48.0
