workload,loop_order,weight_acc,input_acc,output_acc,total_acc,norm_offchip,weight_reuse,input_reuse
ResNet-50,K→C→KH→KW→H_in→W_in,9216,25088,3093376,3127680,1.0,1.0,1.0
ResNet-50,C→K→KH→KW→H_in→W_in,9216,200704,367744,577664,0.1846940863515449,1.0,0.125
ResNet-50,H_in→W_in→K→C→KH→KW,9216,200704,21632,231552,0.07403314917127071,1.0,0.125
ResNet-50,KH→KW→C→K→H_in→W_in,9216,200704,21632,231552,0.07403314917127071,1.0,0.125
ResNet-50,C→KH→KW→K→H_in→W_in,9216,200704,21632,231552,0.07403314917127071,1.0,0.125
ResNet-50,K→H_in→W_in→C→KH→KW,451584,25088,21632,498304,0.1593206466134643,0.02040816326530612,1.0
BERT-Large,K→C→KH→KW→H_in→W_in,2048,1024,30720,33792,1.0,1.0,1.0
BERT-Large,C→K→KH→KW→H_in→W_in,2048,16384,2048,20480,0.6060606060606061,1.0,0.0625
BERT-Large,H_in→W_in→K→C→KH→KW,2048,16384,2048,20480,0.6060606060606061,1.0,0.0625
BERT-Large,KH→KW→C→K→H_in→W_in,2048,16384,2048,20480,0.6060606060606061,1.0,0.0625
BERT-Large,C→KH→KW→K→H_in→W_in,2048,16384,2048,20480,0.6060606060606061,1.0,0.0625
BERT-Large,K→H_in→W_in→C→KH→KW,16384,1024,2048,19456,0.5757575757575758,0.125,1.0
3D-UNet,K→C→KH→KW→H_in→W_in,4608,16384,2044800,2065792,1.0,1.0,1.0
3D-UNet,C→K→KH→KW→H_in→W_in,4608,131072,489600,625280,0.3026829419418799,1.0,0.125
3D-UNet,H_in→W_in→K→C→KH→KW,4608,131072,28800,164480,0.07962079434909226,1.0,0.125
3D-UNet,KH→KW→C→K→H_in→W_in,4608,131072,28800,164480,0.07962079434909226,1.0,0.125
3D-UNet,C→KH→KW→K→H_in→W_in,4608,131072,28800,164480,0.07962079434909226,1.0,0.125
3D-UNet,K→H_in→W_in→C→KH→KW,294912,16384,28800,340096,0.1646322572650102,0.015625,1.0
RNN-T,K→C→KH→KW→H_in→W_in,1024,1024,15360,17408,1.0,1.0,1.0
RNN-T,C→K→KH→KW→H_in→W_in,1024,8192,1024,10240,0.5882352941176471,1.0,0.125
RNN-T,H_in→W_in→K→C→KH→KW,1024,8192,1024,10240,0.5882352941176471,1.0,0.125
RNN-T,KH→KW→C→K→H_in→W_in,1024,8192,1024,10240,0.5882352941176471,1.0,0.125
RNN-T,C→KH→KW→K→H_in→W_in,1024,8192,1024,10240,0.5882352941176471,1.0,0.125
RNN-T,K→H_in→W_in→C→KH→KW,8192,1024,1024,10240,0.5882352941176471,0.125,1.0
DLRM,K→C→KH→KW→H_in→W_in,1024,512,7680,9216,1.0,1.0,1.0
DLRM,C→K→KH→KW→H_in→W_in,1024,4096,512,5632,0.6111111111111112,1.0,0.125
DLRM,H_in→W_in→K→C→KH→KW,1024,4096,512,5632,0.6111111111111112,1.0,0.125
DLRM,KH→KW→C→K→H_in→W_in,1024,4096,512,5632,0.6111111111111112,1.0,0.125
DLRM,C→KH→KW→K→H_in→W_in,1024,4096,512,5632,0.6111111111111112,1.0,0.125
DLRM,K→H_in→W_in→C→KH→KW,4096,512,512,5120,0.5555555555555556,0.25,1.0
VGG-16,K→C→KH→KW→H_in→W_in,9216,6272,658944,674432,1.0,1.0,1.0
VGG-16,C→K→KH→KW→H_in→W_in,9216,50176,78336,137728,0.20421332321123553,1.0,0.125
VGG-16,H_in→W_in→K→C→KH→KW,9216,50176,4608,64000,0.09489466691971911,1.0,0.125
VGG-16,KH→KW→C→K→H_in→W_in,9216,50176,4608,64000,0.09489466691971911,1.0,0.125
VGG-16,C→KH→KW→K→H_in→W_in,9216,50176,4608,64000,0.09489466691971911,1.0,0.125
VGG-16,K→H_in→W_in→C→KH→KW,147456,6272,4608,158336,0.23476940595938509,0.0625,1.0
GPT-2/Transformer,K→C→KH→KW→H_in→W_in,1536,1024,23040,25600,1.0,1.0,1.0
GPT-2/Transformer,C→K→KH→KW→H_in→W_in,1536,12288,1536,15360,0.6,1.0,0.08333333333333333
GPT-2/Transformer,H_in→W_in→K→C→KH→KW,1536,12288,1536,15360,0.6,1.0,0.08333333333333333
GPT-2/Transformer,KH→KW→C→K→H_in→W_in,1536,12288,1536,15360,0.6,1.0,0.08333333333333333
GPT-2/Transformer,C→KH→KW→K→H_in→W_in,1536,12288,1536,15360,0.6,1.0,0.08333333333333333
GPT-2/Transformer,K→H_in→W_in→C→KH→KW,12288,1024,1536,14848,0.58,0.125,1.0
